"brand","name","price","image","link","category","subcategory","packaging"
"UNIVERSAL","Gelatina sin Azúcar Sabor Fresa 19 g","S/ 4","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10246134_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113706508/gelatina-diet-fresa-universal-x19g/113706509?exp=tottus","Alimentos y bebidas - Despensa","Postres y repostería","rigid packaging"
"MAGGI","Cubo de Sabor a Carne 8 unidades","S/ 1.80","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41119419_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113708198/caldo-carne-maggi-x8unx75gr/113708199?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","flexible packaging"
"TOTTUS","Cazuela de Lentejas 425 gr","S/ 7.10","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42226194_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113712672/cazuela-de-lentejas-tottus-x-425g/113712673?exp=tottus","Alimentos y bebidas - Despensa","Conservas","flexible packaging"
"LIBBYS","Mayonesa 380 g","S/ 12.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41885703_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113710179/mayonesa-libbys-x-380gr/113710181?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","flexible packaging"
"PAISANA","Arroz Extra de 1 Kg","S/ 5.80","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41468391_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113706244/arroz-paisana-extra-x-1kg/113706245?exp=tottus","Alimentos y bebidas - Despensa","Arroz, Legumbres y Semillas","flexible packaging"
"TOTTUS","Tapenade mix de aceitunas 185 g","S/ 7.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42020972_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113711908/tapenade-mix-de-aceitunas-tottus-x-185g/113711909?exp=tottus","Alimentos y bebidas - Despensa","Conservas","flexible packaging"
"PROVENZAL","Mezcla para Ají de gallina 100 g","S/ 9.10","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10337743_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113712448/provenzal-preparado-deshidratado-para-aji-de-galli/113712449?exp=tottus","Alimentos y bebidas - Despensa","Sopas, cremas y bases","flexible packaging"
"No brand","Romero Entero Kariño 8 g","S/ 3.30","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40935225_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113713100/romero-x-8gr/113713101?exp=tottus","Alimentos y bebidas - Despensa","Vinagres, aderezos y condimentos","rigid packaging"
"SCHAR","Fideos Spaghetti Dr. Schär Sin Gluten 250 g","S/ 15.50","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41158777_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113710085/spaghetti-dr-schar-x-250gr/113710088?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","rigid packaging"
"AMERICA ORGANICA","Pasta Tipo Spaguetti Bolsa 227 g","S/ 12.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41158769_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113710839/spaguetti-america-organica-x-227gr/113710840?exp=tottus","Alimentos y bebidas - Despensa","Pastas y salsas","rigid packaging"
"AJINOMOTO","Sopa instantánea Ajinomen sabor gallina de 51 g","S/ 3.40","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41913357_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113709287/sopa-instantanea-sabor-gallina-ajinomen-x-51gr/113709288?exp=tottus","Alimentos y bebidas - Despensa","Sopas, cremas y bases","rigid packaging"
"TOTTUS","Duraznos en Mitades 820 g","S/ 9.90","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40698736_1/width=240,height=240,quality=70,format=webp,fit=pad","https://tottus.falabella.com.pe/tottus-pe/product/113712216/duraznos-en-mitades-tottus-x-820g/113712217?exp=tottus","Alimentos y bebidas - Despensa","Conservas","rigid packaging"
