"category","subcategory","name","brand","imageUrl","isFlexiblePackaging"
"Despensa","Desconocido","Aceite Vegetal Premium 900 ml","PRIMOR","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757359_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Six Pack Trozos De Atún En Aceite x 140 g","TOTTUS","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43092552_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Arroz Extra Faraón de 5 Kg","FARAON","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41086701_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Azúcar Rubia 5 kg","TOTTUS","https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40546554_1/width=240,height=240,quality=70,format=webp,fit=pad",false
"Despensa","Desconocido","Aceite Vegetal Clásico 900 ml","PRIMOR","",false
"Despensa","Desconocido","Sémola 200 g","MOLITALIA","",false
"Despensa","Desconocido","Arroz Extra Costeño 5 kg","COSTENO","",true
"Despensa","Desconocido","Arroz Extra 5 kg","TOTTUS","",true
"Despensa","Desconocido","Arroz Extra Añejo Bolsa x 10 Kg","GRAN CHALAN","",true
"Despensa","Desconocido","Gelatina Naranja Bolsa 160 g","ROYAL","",false
"Despensa","Desconocido","Premezcla para Panqueques Caseros de 720 g","BLANCA FLOR","",false
"Despensa","Desconocido","Aceite de Girasol 900 mL","TOTTUS","",false
"Despensa","Desconocido","ACEITE DE OLIVA EXTRA VIRGEN SABOR INTENSO X250ML","EL OLIVAR","",false
"Despensa","Desconocido","Aceite de Soya 900 mL","PRECIO UNO","",false
"Despensa","Desconocido","Picarones Buñuelos 165 g","PROVENZAL","",false
"Despensa","Desconocido","Puré de Tomate Pomarola Concentrado 110 g","MOLITALIA","",false
"Despensa","Desconocido","Keke de Plátano Rectangular","TOTTUS","",false
"Despensa","Desconocido","Sémola 200 g","TOTTUS","",false
"Despensa","Desconocido","Chocolate Kisses Cookies And Creme Empaque 102 g","HERSHEYS","",false
"Despensa","Desconocido","Pack de Menestras Tottus: 500 g de lentejas + 500 g de arvejas + 500 g de frijoles canarios","TOTTUS","",false
"Despensa","Desconocido","SALSA BLANCA EN POLVO TOTTUSX 36 GR","TOTTUS","",false
"Despensa","Desconocido","Sazonador Ajinomix Pop Corn Mantequilla Caja x 6 Sobres","","",false
"Despensa","Desconocido","Fideos Spaghetti de 950 g","MOLITALIA","",false
"Despensa","Desconocido","Orégano Pack 6 Unidades","SIBARITA","",false
"Despensa","Desconocido","Aceite de Oliva Puro 500 mL","EL OLIVAR","",false
"Despensa","Desconocido","Chocoriz Kids 380G","TOTTUS","",false
"Despensa","Desconocido","Salsa Vinagreta Clásica Valle Fértil 370 g","VALLE FERTIL","",false
"Despensa","Desconocido","Arroz Extra 750 g","PACASMAYO","",true
"Despensa","Desconocido","Ajo Molido 350 g","PIKI","",false
"Despensa","Desconocido","Spaghetti 950 g","DON VITTORIO","",false
"Despensa","Desconocido","Mini Pingüinos Marinela - 10 unidades","BIMBO","",false
"Despensa","Desconocido","Tallarín Grueso Empaque 1 kg","NICOLINI","",false
"Despensa","Desconocido","Harina de Maíz Blanco Precocido 1 kg","PAN","",false
"Despensa","Desconocido","SALSA PESTO EN POLVO TOTTUSX 30 GR","TOTTUS","",false
"Despensa","Desconocido","Lenteja Costeño 500 g","COSTENO","",false
"Despensa","Desconocido","Sopa Instantánea Ajinomen Sabor gallina 80 g","AJINOMOTO","",false
"Despensa","Desconocido","Crema de Avellanas 371g","NUTELLA","",false
"Despensa","Desconocido","Gelatina Fresa 130 g","UNIVERSAL","",false
"Despensa","Desconocido","Pre Mezcla Galleta de Avena con Chispas Sabor Chocolate","TOTTUS","",false
"Despensa","Desconocido","Fideos Spaghetti Libre de Gluten 400g","TOTTUS","",false
"Despensa","Desconocido","Caldo Sabor Carne Doña Gusta 6 Unidades","AJINOMOTO","",false
"Despensa","Desconocido","Fideo Codo Mediano Rayado Bolsa 235g","MOLITALIA","",false
