categoria;imagen;marca;nombre;subcategoria;Empaque Flexible
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007501_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Trigo Ramen Costilla 85g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007499_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Trigo Ramen Pollo Pican 85g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007500_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Trigo Ramen Camaron 85g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007492_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Ramen Sab Pollo 85g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007496_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Ramen Sab Carne 85g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007491_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Trigo Ramen Verdura 85g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43061208_1/width=240,height=240,quality=70,format=webp,fit=pad";"AJINOMEN";"Sopa Instantanea Sabor Carne Picante Vaso 51g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42343810_1/width=240,height=240,quality=70,format=webp,fit=pad";"MAGGI";"MEZCLA APANAR SEMOLA HARINA CONDIM SOB X80G";"Sopas, cremas y bases";"NO"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42179713_1/width=240,height=240,quality=70,format=webp,fit=pad";"WHISKAS";"Comida para gatos adultos de carne 1.5 kg";"Sopas, cremas y bases";"NO"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40365439_1/width=240,height=240,quality=70,format=webp,fit=pad";"GOYA";"Sopa Neoguri Picante x 120 g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007498_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Prec Cup Noodles Pollo Picante 68g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007497_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Cup Noodles Pollo 69g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"Sin imagen source";"Sin marca";"Sin nombre";"Sopas, cremas y bases";"NO"
"Alimentos y bebidas - Despensa";"Sin imagen source";"Sin marca";"Sin nombre";"Sopas, cremas y bases";"NO"
"Alimentos y bebidas - Despensa";"Sin imagen source";"Sin marca";"Sin nombre";"Sopas, cremas y bases";"NO"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007493_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Cup Noodles Verduras 67g";"Sopas, cremas y bases";"SÍ"
"Alimentos y bebidas - Despensa";"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43007495_1/width=240,height=240,quality=70,format=webp,fit=pad";"NISSIN";"Pasta Precocida Cup Noodles Carne 68g";"Sopas, cremas y bases";"SÍ"
