categoria;imagen;marca;nombre;subcategoria
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757359_1/width=240,height=240,quality=70,format=webp,fit=pad';'PRIMOR';'Aceite Vegetal Premium 900 ml';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40594675_1/width=240,height=240,quality=70,format=webp,fit=pad';'PRECIO UNO';'Aceite de Soya 900 mL';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757360_1/width=240,height=240,quality=70,format=webp,fit=pad';'PRIMOR';'Aceite Vegetal Clásico 900 ml';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41297507_1/width=240,height=240,quality=70,format=webp,fit=pad';'TOTTUS';'Aceite de Girasol 900 mL';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42842306_1/width=240,height=240,quality=70,format=webp,fit=pad';'TOTTUS';'Aceite vegetal de 900 mL';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10421883_1/width=240,height=240,quality=70,format=webp,fit=pad';'EL OLIVAR';'Aceite de Oliva Extra Virgen 1 L';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42737351_1/width=240,height=240,quality=70,format=webp,fit=pad';'PRIMOR';'Aceite Vegetal Clásico 1.8 L';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757361_1/width=240,height=240,quality=70,format=webp,fit=pad';'ALICORP';'Aceite De Soya Sao 900 ml';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41133303_1/width=240,height=240,quality=70,format=webp,fit=pad';'GOYA';'Aceite Vegetal Tottus x 3L';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10421889_1/width=240,height=240,quality=70,format=webp,fit=pad';'EL OLIVAR';'Aceite de Oliva Extra Virgen 200 mL';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42654280_1/width=240,height=240,quality=70,format=webp,fit=pad';'OLEICO';'ACEITE AEROSOL 170G';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43030231_1/width=240,height=240,quality=70,format=webp,fit=pad';'DELEITE';'Aceite Vegetal Premium 5L';'Aceites'
'Alimentos y bebidas - Despensa';'Sin imagen src';'Sin marca';'Sin nombre';'Aceites'
'Alimentos y bebidas - Despensa';'Sin imagen src';'Sin marca';'Sin nombre';'Aceites'
'Alimentos y bebidas - Despensa';'Sin imagen src';'Sin marca';'Sin nombre';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10400901_1/width=240,height=240,quality=70,format=webp,fit=pad';'EL OLIVAR';'Aceite de Oliva Puro 500 mL';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43392337_1/width=240,height=240,quality=70,format=webp,fit=pad';'Sin marca';'Aceite Vegetal Del Cielo Botella x 2Lt';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42984622_1/width=240,height=240,quality=70,format=webp,fit=pad';'OLEICO';'ACEITE BOTELLA 710ML';'Aceites'
'Alimentos y bebidas - Despensa';'https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42187245_01/width=240,height=240,quality=70,format=webp,fit=pad';'TOTTUS';'Aceite de Oliva Extra Virgen 2 L';'Aceites'
