category,subcategory,name,brand,imageUrl,isFlexible
Alimentos y bebidas,Aceites,Aceite Vegetal Premium 900 ml,PRIMOR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757359_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Conservas,Six Pack Trozos De Atún En Aceite x 140 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43092552_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Arroz Extra Faraón de 5 Kg,FARAON,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41086701_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Azúcar y Endulzante,Azúcar Rubia 5 kg,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40546554_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,Aceite Vegetal Clásico 900 ml,PRIMOR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757360_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Sémola 200 g,MOLITALIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40378811_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Arroz Extra Costeño 5 kg,COSTENO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10472604_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Arroz Extra 5 kg,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40275956_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Alimentos y bebidas,Arroz Extra Añejo Bolsa x 10 Kg,GRAN CHALAN,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43406236_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Gelatina Naranja Bolsa 160 g,ROYAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40683733_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Premezcla para Panqueques Caseros de 720 g,BLANCA FLOR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41462534_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,Aceite de Girasol 900 mL,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41297507_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,ACEITE DE OLIVA EXTRA VIRGEN SABOR INTENSO X250ML,EL OLIVAR,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42552289_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Aceites,Aceite de Soya 900 mL,PRECIO UNO,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40594675_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Postres y repostería,Picarones Buñuelos 165 g,PROVENZAL,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10337894_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Pastas y salsas,Puré de Tomate Pomarola Concentrado 110 g,MOLITALIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42622118_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Sémola 200 g,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42257709_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Chocolates,Chocolate Kisses Cookies And Creme Empaque 102 g,HERSHEYS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42249510_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Arroz, Legumbres y Semillas",Pack de Menestras Tottus: 500 g de lentejas + 500 g de arvejas + 500 g de frijoles canarios,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41817187_1/w=500,h=500,format=jpg",false
Alimentos y bebidas,Pastas y salsas,SALSA BLANCA EN POLVO TOTTUSX 36 GR,TOTTUS,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42677992_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Sazonador Ajinomix Pop Corn Mantequilla Caja x 6 Sobres,,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43376546_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,Pastas y salsas,Fideos Spaghetti de 950 g,MOLITALIA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42828739_1/w=500,h=500,format=jpg",true
Alimentos y bebidas,"Vinagres, aderezos y condimentos",Orégano Pack 6 Unidades,SIBARITA,"https://imagedelivery.net/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40723197_1/w=500,h=500,format=jpg",true
