Categoría,Subcategoría,Nombre,Marca,Imagen (URL),Precio,Enlace,Tipo de Empaque
Despensa,Aceites,Aceite Vegetal Premium 900 ml,PRIMOR,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757359_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 11,https://tottus.falabella.com.pe/tottus-pe/product/113706602/aceite-vegetal-primor-premium-botella-x-900ml/113706603?exp=tottus,Rígido
Despensa,Sin subcategoría,Six Pack Trozos De Atún En Aceite x 140 g,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43092552_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 24.90,https://tottus.falabella.com.pe/tottus-pe/product/120623057/six-pack-trozos-de-atun-en-aceite-tottus-x-140gr/120623059?exp=tottus,Flexible
Despensa,Azúcar y sustitutos,Azúcar Rubia 5 kg,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40546554_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 20.90,https://tottus.falabella.com.pe/tottus-pe/product/113705555/azucar-rubia-tottus-x5kg/113705556?exp=tottus,Flexible
Despensa,Arroz,Arroz Extra Costeño 5 kg,COSTENO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10472604_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 26.90,https://tottus.falabella.com.pe/tottus-pe/product/113707306/arroz-extra-costeno-5-kg/113707307?exp=tottus,Rígido
Despensa,Aceites,Aceite Vegetal Clásico 900 ml,PRIMOR,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42757360_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 10,https://tottus.falabella.com.pe/tottus-pe/product/113706444/aceite-vegetal-primor-botella-x-900ml/113706446?exp=tottus,Rígido
Despensa,Sin subcategoría,Gelatina Fresa 130 g,UNIVERSAL,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43085642_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 4.30,https://tottus.falabella.com.pe/tottus-pe/product/120309510/gelatina-de-fresa-universal-130g/120309511?exp=tottus,Rígido
Despensa,Sin subcategoría,Arroz Extra Añejo Bolsa x 10 Kg,GRAN CHALAN,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43406236_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 42.50,https://tottus.falabella.com.pe/tottus-pe/product/136951384/arroz-extra-anejo-gran-chalan-x-10-kg/136951387?exp=tottus,Flexible
Despensa,Postres listos,Gelatina Naranja Bolsa 160 g,ROYAL,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40683733_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 2.50,https://tottus.falabella.com.pe/tottus-pe/product/113708927/gelatina-royal-naranja-x160-gr/113708929?exp=tottus,Flexible
Despensa,Aceites,Aceite de Soya 900 mL,PRECIO UNO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40594675_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 5.80,https://tottus.falabella.com.pe/tottus-pe/product/113707164/aceite-de-soya-precio-uno-x-900ml/113707167?exp=tottus,Rígido
Despensa,Pastas,Fideos Spaghetti de 950 g,MOLITALIA,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42828739_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 5.20,https://tottus.falabella.com.pe/tottus-pe/product/113707254/fideo-molitalia-spaghetti-bolsa-x-950g/113707255?exp=tottus,Flexible
Despensa,Pastas,Sémola 200 g,MOLITALIA,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40378811_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 1,https://tottus.falabella.com.pe/tottus-pe/product/113706232/semola-molitalia-200-gr/113706233?exp=tottus,Flexible
Despensa,Sin subcategoría,Sazonador Ajinomix Pop Corn Mantequilla Caja x 6 Sobres,Sin marca,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/43376546_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 3.50,https://tottus.falabella.com.pe/tottus-pe/product/133453436/AJINOMIX-POP-CORN-SABOR-MANTEQUILLA-36GR/133453440?exp=tottus,Flexible
Despensa,Otros,Aceite de Girasol 900 mL,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41297507_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 6.10,https://tottus.falabella.com.pe/tottus-pe/product/113706214/aceite-de-girasol-tottus-x-900ml/113706215?exp=tottus,Rígido
Despensa,Premezclas,Premezcla para Panqueques Caseros de 720 g,BLANCA FLOR,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41462534_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 9.29,https://tottus.falabella.com.pe/tottus-pe/product/113711622/mezcla-panq-casero-blanca-florx720gr/113711623?exp=tottus,Flexible
Despensa,Legumbres,Pack de Menestras Tottus: 500 g de lentejas + 500 g de arvejas + 500 g de frijoles canarios,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41817187_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 16.60,https://tottus.falabella.com.pe/tottus-pe/product/113707144/tottus-menestras-lenteja-arbeja-y-frijol-canario-41817187/113707145?exp=tottus,Flexible
Despensa,Arroz,Arroz Extra 5 kg,TOTTUS,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/40275956_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 22.90,https://tottus.falabella.com.pe/tottus-pe/product/113706045/arroz-extra-tottus-x-5-kg/113706046?exp=tottus,Flexible
Despensa,"Sopas, cremas y caldos",Sopa Instantánea Ajinomen Sabor gallina 80 g,AJINOMOTO,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/41074828_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 2,https://tottus.falabella.com.pe/tottus-pe/product/113707280/sopa-instantanea-gallinax80gr/113707281?exp=tottus,Rígido
Despensa,Aceites,Aceite de Oliva Puro 500 mL,EL OLIVAR,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/10400901_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 33.50,https://tottus.falabella.com.pe/tottus-pe/product/113713442/aceite-de-oliva-puro-x-500-ml-el-olivar/113713443?exp=tottus,Rígido
Despensa,Decoración y relleno,Crema de Avellanas 371g,NUTELLA,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42305027_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 39.90,https://tottus.falabella.com.pe/tottus-pe/product/113714990/crema-de-avellanas-nutella-ferrero-x-371gr/113714991?exp=tottus,Flexible
Despensa,Sin subcategoría,Trozos Atún en Aceite Vegetal y Sal 140g,FLORIDA,"https://tottus.falabella.com.pe/cdn-cgi/imagedelivery/4fYuQyy-r8_rpBpcY7lH_A/tottusPE/42327028_1/width=240,height=240,quality=70,format=webp,fit=pad",S/ 5.80,https://tottus.falabella.com.pe/tottus-pe/product/116029481/trozos-atun-florida-en-aceite-vegetal-y-sal-140g/116029482?exp=tottus,Rígido
